X,ID
-1,-7.79E-11
-0.925,-7.78E-11
-0.85,-7.77E-11
-0.75,-7.76E-11
-0.55,-7.74E-11
-0.425,-7.73E-11
-0.375,-7.72E-11
-0.325,-7.71E-11
-0.3,-7.70E-11
-0.275,-7.69E-11
-0.25,-7.68E-11
-0.225,-7.66E-11
-0.2,-7.64E-11
-0.175,-7.61E-11
-0.15,-7.54E-11
-0.125,-7.42E-11
-0.1,-7.17E-11
-0.075,-6.66E-11
-0.05,-5.67E-11
-0.025,-3.74E-11
0,-4.71E-37
0.025,7.29E-11
0.05,2.15E-10
0.075,4.91E-10
0.1,1.03E-09
0.125,2.08E-09
0.15,4.12E-09
0.175,8.10E-09
0.2,1.58E-08
0.225,3.09E-08
0.25,6.03E-08
0.275,1.18E-07
0.3,2.29E-07
0.325,4.46E-07
0.35,8.69E-07
0.375,1.69E-06
0.4,3.30E-06
0.425,6.42E-06
0.45,1.25E-05
0.475,2.44E-05
0.5,4.74E-05
0.525,9.24E-05
0.55,0.000179875
0.575,0.000350262
0.6,0.000681926
0.625,0.00132718
0.65,0.00258122
0.675,0.00501359
0.7,0.00971334
0.725,0.0187279
0.75,0.0357849
0.775,0.0672803
0.8,0.123097
0.825,0.216045
0.85,0.358663
0.875,0.558479
0.9,0.81558
0.925,1.12423
0.95,1.47624
0.975,1.86347
1,2.27897
1.025,2.71718
1.05,3.17373
1.075,3.64527
1.1,4.1292
1.125,4.62349
1.15,5.12651
1.175,5.63698
1.2,6.15388
1.225,6.67635
1.25,7.20371
1.275,7.73536
1.3,8.27084
1.325,8.80971
1.35,9.35165
1.375,9.89633
1.4,10.4435
1.45,11.5445
1.5,12.6531
